group,name , code
,Mbajtese per ski,37411130-2
,Lidhese,37411140-5
,Snowboard,37411150-8
,Veshje per ski,37411160-1
,Pajisje per patinazh dhe hokej ne akull,37411200-4
,Tape per hokej,37411210-7
,Patina per akull,37411220-0
,Shkopinj hokej,37411230-3
,Veshje dhe pajisje per akull,37411300-5
,Pajisje per sporte ujore,37412000-9
,Ski per uje,37412100-0
,Pajisje per zhytje,37412200-1
,Jeleke shpetimi,37412210-4
,Bombola oksigjeni per zhytje,37412220-7
,Rregullatore per zhytje,37412230-0
,Instrumente ose aksesore per zhytje,37412240-3
,Aparat frymemarrje per zhytje,37412241-0
,Veshje per zhytje,37412242-7
,Kostume qe qendrojne mbi uje,37412243-4
,"Maska, tuba ose falanga",37412250-6
,Kostum noti (trup i lagur),37412260-9
,Kostum noti (trup i thate),37412270-2
,Pajisje dhe aksesore per surf dhe not,37412300-2
,"Tabela per surf ne kembe, ne gjunje dhe shtrire",37412310-5
,Pajsje per surf prej eres,37412320-8
,Tabela surf-i,37412330-1
,Falanga dhe syze noti,37412340-4
,Pajisje per lundrim me vela,37412350-7
,Artikuj per gjueti dhe peshkim,37413000-6
,Takëme peshkimi,37413100-7
,Shkopinj peshkimi,37413110-0
,Tojë,37413120-3
,Litar me mekanizem per peshkim,37413130-6
,Grepa ne forme peshku,37413140-9
,Karrem per peshkim,37413150-2
,Pesha per peshkim,37413160-5
,Produkte per gjueti,37413200-8
,Thirres kafshesh,37413210-1
,Kafshe artificiale,37413220-4
,Kurthe sportive,37413230-7
,Tyte pistolete,37413240-0
,Mallra per kamping,37414000-3
,Dysheke te holle per te fjetur,37414100-4
,Termuse,37414200-5
,Pajisje per riparim cadre,37414300-6
,Soba per kamping ose per perdorim ne natyre,37414600-9
,Ftohes pijesh,37414700-0
,Kostume mbijetese,37414800-1
,Pajisje atletike,37415000-0
,Pajisje per kohen e lire,37416000-7
,Pajisje gjimnastikore,37420000-8
,Tapete gjimnastikore,37421000-5
,Paralele ose trare gjimnastikore,37422000-2
,Paralele gjimnastikore,37422100-3
,Trare gjimnastikore,37422200-4
,"Litare, unaza ose aksesore ngjitje gjimnastikore",37423000-9
,Litare gjimnastikore,37423100-0
,Unaza gjimnastikore,37423200-1
,Pajsje per ngjitje gjimnastikore,37423300-2
,Pajisje gjimnastikore per kercime,37424000-6
,Trampolina gjimnastikore,37425000-3
,Pajisje ekuilibri,37426000-0
,Pajisje boksi,37430000-1
,Unaza boksi,37431000-8
,Thase per goditje boksi,37432000-5
,Doreza boksi,37433000-2
,Pajisje per fitness,37440000-4
,Pajisje per stervitje aerobike,37441000-1
,Pista vrapimi,37441100-2
,Shkalle,37441200-3
,Bicikleta te palevizshme,37441300-4
,Pajisje ushtrimi,37441400-5
,Litare kercimi,37441500-6
,Trampolina ushtrimi,37441600-7
,Topa ushtrimi,37441700-8
,Pajisje per step aerobik,37441800-9
,Pajisje ushtrimi eliptike,37441900-0
,Pajisje per ushtrim me pesha,37442000-8
,Shtanga dore,37442100-8
,Shtanga,37442200-8
,Pajisje per ushtrime rezistence per pjesen e poshtme dhe te siperme te trupit,37442300-8
,Pajisje per ushtrime rezistence per pjesen e poshtme te trupit,37442310-4
,Pajisje per ushtrime rezistence per pjesen e siperme te trupit,37442320-7
,Stola per ngritje shtangash,37442400-8
,Pesha per fitness,37442500-8
,Makineri per pilates,37442600-8
,Forcues me shtrengim,37442700-8
,Llastek dhe litare rezistence,37442800-8
,Llastek rezistence,37442810-9
,Litare rezistence,37442820-2
,Pajisje palestre me shume funksione,37442900-8
,Pajisje per sporte ne fusha,37450000-7
,Pajisje per sporte ne fusha,37451000-4
,Baseball,37451100-5
,Gardhe per baseball,37451110-8
,Baza per baseball,37451120-1
,Shkopinj per baseball,37451130-4
,Ndihmues gjuajtje per baseball,37451140-7
,Doreza per baseball,37451150-0
,Pajisje mbrojtese per baseball ose softball,37451160-3
,Pajisje per hokej ne fushe,37451200-6
,Topa per hokej ne fushe,37451210-9
,Shkopinj per hokej ne fushe,37451220-2
,Topa futbolli amerikan,37451300-7
,Bllokuese per futboll amerikan,37451310-0
,Mbajtese e topit per futboll amerikan,37451320-3
,Mbrojtese per futboll amerikan,37451330-6
,Shenjues per futboll amerikan,37451340-9
,Topa lacrosse,37451400-8
,Shkoping lacrosse,37451500-9
,Makineri gjuajtje,37451600-0
,Topa futbolli,37451700-1
,Pajisje per shenjimin e fushes se futbollit,37451710-4
,Pajisje mbrojtese per futboll,37451720-7
,Pajisje stervitore per futboll,37451730-0
,Topa per softball,37451800-2
,Shkopinj per softball,37451810-5
,Doreza per softball,37451820-8
,Topa per handball,37451900-3
,Komplete per skuadrat e shkollave (handball),37451920-9
,Pajisje (raketa) per sporte ne fushe,37452000-1
,Pajisje badminton,37452100-2
,Pupla dhe zogj per badminton,37452110-5
,Raketa per badminton,37452120-8
,Topa basketbolli,37452200-3
,Sisteme te plota loje per basketboll,37452210-6
,Pajisje mbrojtese per hokej ne dysheme,37452300-4
,"Topa racquetball, mbajtese dhe tela",37452400-5
,Topa racquetball,37452410-8
,Mbajtese racquetball,37452420-1
,Tela racquetball,37452430-4
,Raketa racquetball,37452500-6
,Pajise squash,37452600-7
,Topa squash,37452610-0
,Raketa squash,37452620-3
,Pajisje tenisi,37452700-8
,Topa tenisi,37452710-1
,Pajisje per fushe tenisi,37452720-4
,Raketa tenisi,37452730-7
,Ndihmues per stervitje tenisi,37452740-0
,Topa dhe pole per tether,37452800-9
,Topa per tether,37452810-2
,Pole per tether,37452820-5
,Topa volejbolli,37452900-0
,Standarte volejbolli gjimnastikor,37452910-3
,Pajisje magazinimi per topa dhe rrjeta volejbolli,37452920-6
,Pajisje sportive per track,37453000-8
,Shtiza,37453100-9
,Pengesa kercimi,37453200-0
,Disqe,37453300-1
,Topa hedhje,37453400-2
,Shkopinj per kercim se larti,37453500-3
,Pengesa kercimi,37453600-4
,Shkopinj,37453700-5
,Pajisje per lojra tavoline dhe me shenjester,37460000-0
,Pajisje per lojra tavoline,37461000-7
,Tavolina dhe aksesore per hokej ne ajer,37461100-8
,Topa per foosball,37461200-9
,Lojtare zevendesues per foosball,37461210-2
,Tavolina per foosball,37461220-5
,Shkopinj bilardo,37461300-0
,Pajisje shuffleboard,37461400-1
,Tavolina per pingpong,37461500-2
,Topa per pingpong,37461510-5
,Rakea per pingpong,37461520-8
,Pajisje per lojra me shenjester,37462000-4
,Pajisje per gjuajtje me hark,37462100-5
,Roje krahu per gjuajtje me hark,37462110-8
,Shigjeta per gjuajtje me hark,37462120-1
,Mbajtese fundore per gjuajtje me hark,37462130-4
,Tela per gjuajtje me hark,37462140-7
,Harqe per gjuajtje me hark,37462150-0
,Doreza per gjuajtje me hark,37462160-3
,Kambalec per shenjestren ne gjuajtjet me hark,37462170-6
,Shenjester per gjuajtje,37462180-9
,Lojë me shigjeta,37462200-6
,Tabelë për lojra me shigjeta,37462210-9
,Gjuajtëse për lojra me shigjeta,37462300-7
,Pajisje për trapshooting,37462400-8
,Pajisje për golf dhe bowling,37470000-3
,Pajisje golfi,37471000-0
,Çanta golfi,37471100-1
,Topa golfi,37471200-2
,Shkopinj golfi,37471300-3
,Bluze golfi,37471400-4
,Këllëf për kokën e shkopinjve të golfit,37471500-5
,Dorashka golfi,37471600-6
,Mbajtëse për topat e golfit,37471700-7
,Pajisje informative golfi,37471800-8
,Pajisje shpërndarëse për topa golfi,37471900-9
,Pajisje bowling,37472000-7
,Makineri ose aparat për pajisjet e kohës së lirë,37480000-6
,Makineri për mirëmbajtjen e akullit,37481000-3
,Tabela informacionesh sportive,37482000-0
,Lojra dhe lodra; zbavitëse në natyrë,37500000-3
,Kukulla,37510000-6
,Shtëpi kukullash,37511000-3
,Pjesë ose aksesorë kukullash,37512000-0
,Marioneta,37513000-7
,Teatër marionetash,37513100-8
,Lodra,37520000-9
,Instrumenta muzikore lodër,37521000-6
,Lodra me rrota,37522000-3
,Puzzle,37523000-0
,Lojra,37524000-7
,Lojra edukuese,37524100-8
,Lojra tavoline,37524200-9
,Lojra klasike,37524300-0
,Lojra bashkëpunimi,37524400-1
,Lojra strategjike,37524500-2
,Lojra kujtese,37524600-3
,Aksesorë për lojra,37524700-4
,Lojra llotarie,37524800-5
,Formular llotarie,37524810-8
,Komplete lojrash,37524900-6
,Balona lodër dhe topa,37525000-4
,Kova lodër,37526000-1
,Trena dhe automjete lodër,37527000-8
,Trena lodër,37527100-9
,Automjete lodër,37527200-0
,Armë lodër,37528000-5
,Lodra që fryhen dhe ecin,37529000-2
,Lodra që fryhen,37529100-3
,Lodra që ecin,37529200-4
,"Artikuj për parqe lojrash, lojra tavoline ose sallash",37530000-2
,Letra për të luajtur,37531000-9
,Video lojëra,37532000-6
,Bilardo,37533000-3
,Topa bilardoje,37533100-4
,Shkumës bilardoje,37533200-5
,Kunja bilardoje,37533300-6
,Mbajtëse bilardoje,37533400-7
,Tavolina bilardoje,37533500-8
,Lojra me monedha ose disqe,37534000-0
,"Rrethrrotullime, lëkundëse, galeritë e qitjes dhe argëtime të tjera të hapura",37535000-7
,Lëkundëse,37535100-8
,Pajisje për parqe lojrash,37535200-9
,Lëkundëse për parqe lojrash,37535210-2
,Aparat ngjitje për parqe lojrash,37535220-5
,Rrethrrotullime për parqe lojrash,37535230-8
,Rrëshqitëse për parqe lojrash,37535240-1
,Lëkundëse me ekuilibër për parqe lojrash,37535250-4
,Tunele për parqe lojrash,37535260-7
,Kuti rëre për parqe lojrash,37535270-0
,Stola stadiumi për parqe lojrash,37535280-3
,Pajisje për ngjitje muri dhe litari,37535290-6
,Pajisje për ngjitje muri,37535291-3
,Pajisje për ngjitje litari,37535292-0
,Makineri bixhozi,37540000-5
,Furnizime artizanale dhe arti,37800000-6
,Furnizime artizanale,37810000-9
,Furnizime arti,37820000-2
,Furça artistësh,37821000-9
,Lapsa vizatimi,37822000-6
,Lapsa me ngjyra,37822100-7
,Vizatim me qymyr,37822200-8
,Shkumësa,37822300-9
,Pastel,37822400-0
,Letër kundra yndyrës dhe artikuj të tjerë prej letre,37823000-3
,Letër kundra yndyrës,37823100-4
,Letër kalku,37823200-5
,Letër plastike,37823300-6
,Letër transparente ose e tejdukshme,37823400-7
,Letër arti dhe artizanale,37823500-8
,Letër për vizatim,37823600-9
,Letra për hartat,37823700-0
,Letra me shumë fije dhe kartonë,37823800-1
,Letra kraft,37823900-2
,Makineri bujqësore,16000000-5
,Makineri bujqësore dhe pyjore për përgatitjen e tokës apo për kultivim,16100000-6
,Plugje ose harrows disk,16110000-9
,"Branë, scarifiers, kultivator, weeders ose hoes",16120000-2
,Mbjellës ose transplantues,16130000-5
,Makina shpërndarëse plehu,16140000-8
,Shpërndarës plehu,16141000-5
,Rrula për lëndina ose fusha sportive,16150000-1
,Pajisje të ndryshme kopshtarie,16160000-4
,Makineri për korrje,16300000-8
,Makinë kositëse,16310000-1
,Makinë kositëse për lëndina,16311000-8
,"Makinë kositëse për lëndina, parqe ose fusha sportive",16311100-9
,Makineri për barin,16320000-4
,Makineri për ambalazhimin e tagjisë dhe kashtës,16330000-7
,Pick-up balers,16331000-4
,Makineri për korrje dhe shirje,16340000-0
,Makineri për spërkatje në bujqësi ose kopshtari,16400000-9
,Rimorkio për vetë-ngarkim ose shkarkim dhe gjysmë-rimorkio për bujqësinë,16500000-0
,Rimorkio me vetë-ngarkim për bujqësinë,16510000-3
,Shkarkim rimorkio për bujqësinë,16520000-6
,Vetë-ngarkim gjysmë-rimorkio për bujqësinë,16530000-9
,Shkarkim gjysmë-rimorkio për bujqësinë,16540000-2
Makina bujqësore,Makineri bujqësore ose pyjore të specializuara,16600000-1
,"Makina për pastrim, seleksionim ose klasifikim të vezëve, frutave apo
produkteve të tjera",16610000-4
,Makina për pastrimin e prodhimeve,16611000-1
,Makina për pastrimin vezë,16611100-2
,Makina për pastrimin e frutave,16611200-3
,Makina për seleksionim ose klasifikim të produkteve,16612000-8
,Makina për seleksionim ose klasifikim të vezëve,16612100-9
,Makina për seleksionim ose klasifikim të fruta,16612200-0
,"Makina për pastrim, seleksionim ose klasifikim të farave, grurit ose perimeve
të thata",16613000-5
,Makina mjelëse,16620000-7
,Makineri për përgatitjen ushqimet e kafshëve,16630000-0
,Makineri për apikulturë,16640000-3
,Makineri për mbajtjen e shpezëve,16650000-6
,Inkubatorë për shpeztari dhe vezë,16651000-3
,Traktorë,16700000-2
,Traktorë bujqësorë me drejtues këmbësor,16710000-5
,Traktorë të përdorura,16720000-8
,Motorë tërheqjeje,16730000-1
,Pjesë të makinerive bujqësore dhe pyjore,16800000-3
,Pjesë të makinerive bujqësore,16810000-6
,Pjesë të makinerive pyjore,16820000-9
"Makineri elektrike, aparate, pajisje dhe mallra konsumi, ndriçimi","Makineri, aparatura, pajisje dhe konsum elektrik; ndriçim",31000000-6
,"Motorë elektrike, gjeneratorë dhe transformatorë",31100000-7
,Motorë elektrike,31110000-0
,Adapter,31111000-7
,Gjeneratorë,31120000-3
,Komplete gjenerimi,31121000-0
,Komplete gjenerimi me motorë me ndezje me kompresim,31121100-1
,Konvertuer fuqie,31121110-4
,Konvertues rotore elektrik,31121111-1
,Komplete gjenerimi me motorë me ndezje me shkëndijë,31121200-2
,Gjeneratorë me energji të erës,31121300-3
,Mullinj ere,31121310-6
,Turbina ere,31121320-9
,Gjeneratorë me turbina ere,31121330-2
,Rotorë turbine,31121331-9
,Mullinj me erë,31121340-5
,Gjenerator,31122000-7
,Pila karburanti,31122100-8
,Gjenerator me turbinë me avull dhe aparate të ngjashme,31124000-1
,Komplete gjeneratorësh me turbinë,31124100-2
,Aparate kontrolli të gjeneratorëve me turbinë,31124200-3
,Dinamo,31126000-5
,Gjenerator emergjence,31127000-2
,Turbogjenerator,31128000-9
,Alternator,31130000-6
,Motorë njëfazor,31131000-3
,Aktuator,31131100-4
,Anoda,31131200-5
,Motorë shumë-fazorë,31132000-0
,Kulla ftohjeje,31140000-9
,Ftohës uji,31141000-6
,Çakëll për tuba ose llampa shkarkuese,31150000-2
,Konvertues statik,31151000-9
,Ndreqës,31153000-3
,Furnizues me energji të pandërprerë,31154000-0
,Inverter,31155000-7
,Furnizues me energji të ndërprerë,31156000-4
,Induktor,31157000-1
,Karikues,31158000-8
,Karikues baterishë,31158100-9
,Kompresor,31158200-0
,Turbokompresor,31158300-1
,"Pjesë të motorëve elektrike, gjeneratorëve dhe transformatorëve",31160000-5
,Pjesë për motore elektrike dhe gjeneratorë,31161000-2
,Sisteme eksitimi,31161100-3
,Sisteme ftohjeje me gaz,31161200-4
,Rotor për gjenerator,31161300-5
,Sisteme uji primare,31161400-6
,Sisteme vaji,31161500-7
,Sisteme për ftohjen e ujit me stator,31161600-8
,Pjesë të gjeneratorëve me avull,31161700-9
,Pjesë të gjeneratorëve me benzinë,31161800-0
,Sisteme për kontrollin e tensionit,31161900-1
,"Pjesë e transformatorëve, tregtisë dhe converters statike",31162000-9
,Pjesë e kondensatorëve,31162100-0
,Transformatorë,31170000-8
,Transformatorë lëngshme dielektrike,31171000-5
,Transformatorë tensioni,31172000-2
,Transformator instrumentesh,31173000-9
,Transformatorë furnizimi me energji elektrike,31174000-6
,Aparatet për kontrollin dhe shpërndarjen e energjisë elektrike,31200000-8
,Aparaturat elektrike për kycjen ose mbrojtjen e qarqeve elektrike,31210000-1
,Bordet dhe kuti siguresash,31211000-8
,Borde për aparatet elektrike,31211100-9
,Panele kontrolli,31211110-2
,Kuti siguresash,31211200-0
,Siguresa,31211300-1
,Çelës automatik,31211310-4
,Blloqe siguresash,31211320-7
,Tela me gjemba,31211330-0
,Kapëse siguresash,31211340-3
,Ndërprerës qarku,31212000-5
,Ndërprerës qarku indirekte,31212100-6
,Testues qarku,31212200-7
,Ndërprerës qarku magnetik,31212300-8
,Ndërprerës qarku në miniaturë,31212400-9
,Pajisje të shpërndarjes,31213000-2
,Kuti të shpërndarjes,31213100-3
,Transformatorë të shpërndarjes,31213200-4
,Kabineti i shpërndarjes së kabllove,31213300-5
,Sistem shpërndarjeje,31213400-6
,Kuadro,31214000-9
,Çelësa,31214100-0
,Çelësa izolimi,31214110-3
,Çelësa tokëzimi,31214120-6
,Çelësa sigurie,31214130-9
,Çelësa komutator,31214140-2
,Çelësa daulle,31214150-5
,Çelësa presioni,31214160-8
,Çelësa me kunj,31214170-1
,Çelësa rrëshqitjeje,31214180-4
,Çelësa kufizimi,31214190-7
,Ndërprerës çelësash,31214200-1
,Instalime në natyrë,31214300-2
,Siguresa,31214400-3
,Kuadër elektrik,31214500-4
,Kuadër elektrik shpërndarës,31214510-7
,Kuadër elektrik me tension të mesëm,31214520-0
,Kufizuesi tensioni,31215000-6
,Shkarkues rrufeje,31216000-3
,Pajisje rrufe-mbrojtëse,31216100-4
,Rrufepritës,31216200-5
,Kufizues rryme,31217000-0
,Zbara,31218000-7
,Kuti mbrojtëse,31219000-4
,Komponente të qarqeve elektrike,31220000-4
,Rele elektrike,31221000-1
,Rele energjie,31221100-2
,Rele për qëllime të përgjithshme,31221200-3
,Rele prizash,31221300-4
,Rele tensioni alternativ,31221400-5
,Rele merkuri,31221500-6
,Rele kohe,31221600-7
,Rele mbingarkesë,31221700-8
,Porto-llambë,31223000-5
,Elemente lidhjeje dhe kontakti,31224000-2
,Priza dhe spina,31224100-3
,Lidhje koaksiale,31224200-4
,Kuti lidhëse,31224300-5
,Kabllot lidhëse,31224400-6
,Terminale,31224500-7
,Komutator,31224600-8
,Kuti kryqëzimi,31224700-9
,Vegla për bashkim kabllosh,31224800-0
,Kabllo zgjatimi,31224810-3
,Pjesë të aparaturave të ose kontrollit të energjisë elektrike,31230000-7
,Tela të izoluar dhe kabllo,31300000-9
,Linja kryesore,31310000-2
,Lidhës të linjave kryesore,31311000-9
,Kabllo për shpërndarjen e energjisë,31320000-5
,Linja të energjisë elektrike,31321000-2
,Linja ajrore të energjisë elektrike,31321100-3
,Kabllo të tensionit të ulët dhe të mesëm,31321200-4
,Kabllo të tensionit të ulët,31321210-7
,Kabllo të tensionit të mesëm,31321220-0
,Kabllo të tensionit të lartë,31321300-5
,Kabllo nënujore,31321400-6
,Kabllo nëndetëse,31321500-7
,Kabllo të mbrojtura,31321600-8
,Kabllo sinjalizimi,31321700-9
,Kabllo koaksiale,31330000-8
,Pajisje me kabllo të izoluara,31340000-1
,Mbështjella me kabllo të izoluara,31341000-8
,Lidhje me kabllo të izoluara,31342000-5
,Nyje me kabllo të izoluara,31343000-2
,Gjëndrra me kabllo të izoluara,31344000-9
,Përçuesve elektrik për qëllime kontrolli dhe të dhënash,31350000-4
,Përçuesve elektrik për sisteme kontrolli të aksesit,31351000-1
,"Akumulatorë, qeliza primare dhe bateri primare",31400000-0
,Qeliza primare,31410000-3
,Bateri alkaline,31411000-0
,Bateri primare,31420000-6
,Bateri të çojë,31421000-3
,Paketa baterishë,31422000-0
,Akumulatorë elektrike,31430000-9
,Akumulatorë plumb-acid,31431000-6
,Akumulatorë nikel-kadmiumi,31432000-3
,Akumulatorë nikel-hekuri,31433000-0
,Akumulatorë litiumi,31434000-7
,Bateri,31440000-2
,Pajisje ndriçimi dhe llamba elektrike,31500000-1
